2021-04-05:14:22:35,497 INFO     [utils.py:12] Environment Initilized
2021-04-05:14:22:35,562 INFO     [utils.py:12] ('2016-05-20', 'Close')
2021-04-05:14:22:35,562 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,562 INFO     [utils.py:12] ('2016-05-23', 'Open')
2021-04-05:14:22:35,563 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,563 INFO     [utils.py:12] ('2016-05-23', 'Close')
2021-04-05:14:22:35,563 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,563 INFO     [utils.py:12] ('2016-05-24', 'Open')
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('2016-05-24', 'Close')
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('2016-05-25', 'Open')
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,564 INFO     [utils.py:12] ('2016-05-25', 'Close')
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('2016-05-26', 'Open')
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('action', array([1]))
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('2016-05-26', 'Close')
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('action', array([-7]))
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('2016-05-27', 'Open')
2021-04-05:14:22:35,565 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('2016-05-27', 'Close')
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('2016-05-31', 'Open')
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('2016-05-31', 'Close')
2021-04-05:14:22:35,566 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,567 INFO     [utils.py:12] ('2016-06-01', 'Open')
2021-04-05:14:22:35,567 INFO     [utils.py:12] ('action', array([5]))
2021-04-05:14:22:35,567 INFO     [utils.py:12] ('2016-06-01', 'Close')
2021-04-05:14:22:35,567 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,568 INFO     [utils.py:12] ('2016-06-02', 'Open')
2021-04-05:14:22:35,569 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,569 INFO     [utils.py:12] ('2016-06-02', 'Close')
2021-04-05:14:22:35,569 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,569 INFO     [utils.py:12] ('2016-06-03', 'Open')
2021-04-05:14:22:35,569 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('2016-06-03', 'Close')
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('2016-06-06', 'Open')
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('2016-06-06', 'Close')
2021-04-05:14:22:35,570 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('2016-06-07', 'Open')
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('2016-06-07', 'Close')
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('2016-06-08', 'Open')
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,571 INFO     [utils.py:12] ('2016-06-08', 'Close')
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('2016-06-09', 'Open')
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('2016-06-09', 'Close')
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,572 INFO     [utils.py:12] ('2016-06-10', 'Open')
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('action', array([-7]))
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('2016-06-10', 'Close')
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('2016-06-13', 'Open')
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,573 INFO     [utils.py:12] ('2016-06-13', 'Close')
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('2016-06-14', 'Open')
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('2016-06-14', 'Close')
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('2016-06-15', 'Open')
2021-04-05:14:22:35,574 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('2016-06-15', 'Close')
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('2016-06-16', 'Open')
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('2016-06-16', 'Close')
2021-04-05:14:22:35,575 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,576 INFO     [utils.py:12] ('2016-06-17', 'Open')
2021-04-05:14:22:35,576 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('2016-06-17', 'Close')
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('2016-06-20', 'Open')
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('2016-06-20', 'Close')
2021-04-05:14:22:35,577 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('2016-06-21', 'Open')
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('2016-06-21', 'Close')
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('2016-06-22', 'Open')
2021-04-05:14:22:35,578 INFO     [utils.py:12] ('action', array([1]))
2021-04-05:14:22:35,579 INFO     [utils.py:12] ('2016-06-22', 'Close')
2021-04-05:14:22:35,579 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,579 INFO     [utils.py:12] ('2016-06-23', 'Open')
2021-04-05:14:22:35,579 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,595 INFO     [utils.py:12] ('2016-06-23', 'Close')
2021-04-05:14:22:35,596 INFO     [utils.py:12] ('action', array([-7]))
2021-04-05:14:22:35,598 INFO     [utils.py:12] ('2016-06-24', 'Open')
2021-04-05:14:22:35,600 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,601 INFO     [utils.py:12] ('2016-06-24', 'Close')
2021-04-05:14:22:35,601 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,601 INFO     [utils.py:12] ('2016-06-27', 'Open')
2021-04-05:14:22:35,602 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,602 INFO     [utils.py:12] ('2016-06-27', 'Close')
2021-04-05:14:22:35,602 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,602 INFO     [utils.py:12] ('2016-06-28', 'Open')
2021-04-05:14:22:35,602 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,603 INFO     [utils.py:12] ('2016-06-28', 'Close')
2021-04-05:14:22:35,603 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,603 INFO     [utils.py:12] ('2016-06-29', 'Open')
2021-04-05:14:22:35,603 INFO     [utils.py:12] ('action', array([1]))
2021-04-05:14:22:35,603 INFO     [utils.py:12] ('2016-06-29', 'Close')
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('2016-06-30', 'Open')
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('2016-06-30', 'Close')
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,604 INFO     [utils.py:12] ('2016-07-01', 'Open')
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('2016-07-01', 'Close')
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('2016-07-05', 'Open')
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,605 INFO     [utils.py:12] ('2016-07-05', 'Close')
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('2016-07-06', 'Open')
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('2016-07-06', 'Close')
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,606 INFO     [utils.py:12] ('2016-07-07', 'Open')
2021-04-05:14:22:35,607 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,607 INFO     [utils.py:12] ('2016-07-07', 'Close')
2021-04-05:14:22:35,607 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,607 INFO     [utils.py:12] ('2016-07-08', 'Open')
2021-04-05:14:22:35,611 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,612 INFO     [utils.py:12] ('2016-07-08', 'Close')
2021-04-05:14:22:35,612 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,614 INFO     [utils.py:12] ('2016-07-11', 'Open')
2021-04-05:14:22:35,615 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,617 INFO     [utils.py:12] ('2016-07-11', 'Close')
2021-04-05:14:22:35,617 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,617 INFO     [utils.py:12] ('2016-07-12', 'Open')
2021-04-05:14:22:35,617 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,618 INFO     [utils.py:12] ('2016-07-12', 'Close')
2021-04-05:14:22:35,619 INFO     [utils.py:12] ('action', array([-10]))
2021-04-05:14:22:35,619 INFO     [utils.py:12] ('2016-07-13', 'Open')
2021-04-05:14:22:35,619 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,619 INFO     [utils.py:12] ('2016-07-13', 'Close')
2021-04-05:14:22:35,619 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,620 INFO     [utils.py:12] ('2016-07-14', 'Open')
2021-04-05:14:22:35,620 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,621 INFO     [utils.py:12] ('2016-07-14', 'Close')
2021-04-05:14:22:35,621 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,621 INFO     [utils.py:12] ('2016-07-15', 'Open')
2021-04-05:14:22:35,622 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,622 INFO     [utils.py:12] ('2016-07-15', 'Close')
2021-04-05:14:22:35,622 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,623 INFO     [utils.py:12] ('2016-07-18', 'Open')
2021-04-05:14:22:35,623 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,623 INFO     [utils.py:12] ('2016-07-18', 'Close')
2021-04-05:14:22:35,623 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,624 INFO     [utils.py:12] ('2016-07-19', 'Open')
2021-04-05:14:22:35,624 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,624 INFO     [utils.py:12] ('2016-07-19', 'Close')
2021-04-05:14:22:35,624 INFO     [utils.py:12] ('action', array([-7]))
2021-04-05:14:22:35,625 INFO     [utils.py:12] ('2016-07-20', 'Open')
2021-04-05:14:22:35,625 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,625 INFO     [utils.py:12] ('2016-07-20', 'Close')
2021-04-05:14:22:35,625 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,625 INFO     [utils.py:12] ('2016-07-21', 'Open')
2021-04-05:14:22:35,626 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,626 INFO     [utils.py:12] ('2016-07-21', 'Close')
2021-04-05:14:22:35,626 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,626 INFO     [utils.py:12] ('2016-07-22', 'Open')
2021-04-05:14:22:35,627 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,627 INFO     [utils.py:12] ('2016-07-22', 'Close')
2021-04-05:14:22:35,627 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,627 INFO     [utils.py:12] ('2016-07-25', 'Open')
2021-04-05:14:22:35,628 INFO     [utils.py:12] ('action', array([-5]))
2021-04-05:14:22:35,628 INFO     [utils.py:12] ('2016-07-25', 'Close')
2021-04-05:14:22:35,628 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,629 INFO     [utils.py:12] ('2016-07-26', 'Open')
2021-04-05:14:22:35,629 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,629 INFO     [utils.py:12] ('2016-07-26', 'Close')
2021-04-05:14:22:35,629 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,630 INFO     [utils.py:12] ('2016-07-27', 'Open')
2021-04-05:14:22:35,630 INFO     [utils.py:12] ('action', array([7]))
2021-04-05:14:22:35,630 INFO     [utils.py:12] ('2016-07-27', 'Close')
2021-04-05:14:22:35,630 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,631 INFO     [utils.py:12] ('2016-07-28', 'Open')
2021-04-05:14:22:35,631 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,631 INFO     [utils.py:12] ('2016-07-28', 'Close')
2021-04-05:14:22:35,631 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,632 INFO     [utils.py:12] ('2016-07-29', 'Open')
2021-04-05:14:22:35,632 INFO     [utils.py:12] ('action', array([4]))
2021-04-05:14:22:35,632 INFO     [utils.py:12] ('2016-07-29', 'Close')
2021-04-05:14:22:35,633 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,633 INFO     [utils.py:12] ('2016-08-01', 'Open')
2021-04-05:14:22:35,633 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,633 INFO     [utils.py:12] ('2016-08-01', 'Close')
2021-04-05:14:22:35,634 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,634 INFO     [utils.py:12] ('2016-08-02', 'Open')
2021-04-05:14:22:35,634 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,634 INFO     [utils.py:12] ('2016-08-02', 'Close')
2021-04-05:14:22:35,635 INFO     [utils.py:12] ('action', array([5]))
2021-04-05:14:22:35,635 INFO     [utils.py:12] ('2016-08-03', 'Open')
2021-04-05:14:22:35,635 INFO     [utils.py:12] ('action', array([6]))
2021-04-05:14:22:35,636 INFO     [utils.py:12] ('2016-08-03', 'Close')
2021-04-05:14:22:35,636 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,636 INFO     [utils.py:12] ('2016-08-04', 'Open')
